Year,Province,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy
2020,Quebec,Physicians,"6,82,16,83,101","6,87,15,67,376","13,69,32,50,478",676.2,82.57
2021,Quebec,Physicians,"7,32,72,38,723","7,38,37,14,277","14,71,09,53,000",670.5,82.62
2022,Quebec,Physicians,"8,70,45,74,596","8,76,76,63,298","17,47,22,37,894",668.3,82.65
2023,Quebec,Physicians,"9,29,70,32,260","9,36,24,95,422","18,65,95,27,682",665.8,82.72
2003,Quebec,Other Professionals,"14,57,01,064","25,63,36,967","40,20,38,030",511.8,79.43
2004,Quebec,Other Professionals,"14,71,89,656","25,98,23,842","40,70,13,498",531.5,79.66
2005,Quebec,Other Professionals,"15,15,37,966","26,31,07,764","41,46,45,730",546.5,79.93
2006,Quebec,Other Professionals,"15,25,38,515","27,67,47,655","42,92,86,170",557.6,80.25
2007,Quebec,Other Professionals,"16,43,91,645","28,14,46,097","44,58,37,742",565.9,80.52
2008,Quebec,Other Professionals,"17,54,89,823","29,94,58,981","47,49,48,804",573.8,80.79
2009,Quebec,Other Professionals,"20,14,85,286","32,62,26,261","52,77,11,547",585.9,80.99
2010,Quebec,Other Professionals,"20,96,09,358","33,10,81,754","54,06,91,113",640.8,81.24
2011,Quebec,Other Professionals,"21,92,95,936","34,07,62,506","56,00,58,442",685.8,81.46
2012,Quebec,Other Professionals,"24,48,46,325","36,80,78,137","61,29,24,461",701.4,81.6
2013,Quebec,Other Professionals,"25,99,67,004","38,45,29,357","64,44,96,361",621.5,81.77
2014,Quebec,Other Professionals,"27,91,43,024","40,88,24,613","68,79,67,637",649,81.92
2015,Quebec,Other Professionals,"76,91,17,586","90,59,97,540","1,67,51,15,126",656.8,82.05
2016,Quebec,Other Professionals,"92,71,24,441","1,07,70,81,182","2,00,42,05,623",673.4,82.22
2017,Quebec,Other Professionals,"1,02,59,85,898","1,18,75,16,239","2,21,35,02,137",672.9,82.36
2018,Quebec,Other Professionals,"1,08,81,57,971","1,27,33,50,074","2,36,15,08,045",658.9,82.48
2019,Quebec,Other Professionals,"1,14,32,77,374","1,35,26,17,118","2,49,58,94,493",670.4,82.63
2020,Quebec,Other Professionals,"1,13,97,02,689","1,32,41,48,966","2,46,38,51,656",676.2,82.57
2021,Quebec,Other Professionals,"1,28,64,81,905","1,51,03,52,496","2,79,68,34,401",670.5,82.62
2022,Quebec,Other Professionals,"1,49,85,42,045","1,72,49,66,398","3,22,35,08,443",668.3,82.65
2023,Quebec,Other Professionals,"1,62,11,49,057","1,85,91,68,561","3,48,03,17,618",665.8,82.72
2003,Quebec,Drugs,"1,53,46,07,480","2,18,54,31,574","3,72,00,39,054",511.8,79.43
2004,Quebec,Drugs,"1,67,45,31,001","2,36,82,16,616","4,04,27,47,616",531.5,79.66
2005,Quebec,Drugs,"1,79,69,42,930","2,49,77,85,874","4,29,47,28,804",546.5,79.93
2006,Quebec,Drugs,"1,95,42,80,100","2,71,31,43,754","4,66,74,23,854",557.6,80.25
2007,Quebec,Drugs,"2,18,78,22,733","2,97,26,61,720","5,16,04,84,453",565.9,80.52
2008,Quebec,Drugs,"2,30,35,76,478","3,17,58,43,602","5,47,94,20,080",573.8,80.79
2009,Quebec,Drugs,"2,37,87,05,041","3,29,30,38,161","5,67,17,43,202",585.9,80.99
2010,Quebec,Drugs,"2,39,32,12,299","3,34,62,06,957","5,73,94,19,255",640.8,81.24
2011,Quebec,Drugs,"2,44,54,65,503","3,40,90,39,726","5,85,45,05,229",685.8,81.46
2012,Quebec,Drugs,"2,45,66,97,219","3,45,48,08,200","5,91,15,05,419",701.4,81.6
2013,Quebec,Drugs,"2,39,60,37,299","3,45,87,76,257","5,85,48,13,556",621.5,81.77
2014,Quebec,Drugs,"2,48,08,47,199","3,58,64,31,470","6,06,72,78,669",649,81.92
2015,Quebec,Drugs,"2,44,73,26,943","3,62,20,61,202","6,06,93,88,145",656.8,82.05
2016,Quebec,Drugs,"2,48,63,03,201","3,75,15,61,649","6,23,78,64,849",673.4,82.22
2017,Quebec,Drugs,"2,38,73,47,258","3,71,77,82,922","6,10,51,30,180",672.9,82.36
2018,Quebec,Drugs,"2,33,81,64,173","3,71,96,46,108","6,05,78,10,281",658.9,82.48
2019,Quebec,Drugs,"2,47,89,15,966","3,89,67,41,314","6,37,56,57,280",670.4,82.63
2020,Quebec,Drugs,"2,61,16,71,826","4,04,99,04,281","6,66,15,76,107",676.2,82.57
2021,Quebec,Drugs,"2,53,36,50,459","4,24,77,65,737","6,78,14,16,196",670.5,82.62
2022,Quebec,Drugs,"2,54,85,86,500","4,32,93,31,909","6,87,79,18,409",668.3,82.65
2023,Quebec,Drugs,"2,67,82,17,000","4,51,70,19,345","7,19,52,36,345",665.8,82.72
2003,Quebec,Public Health,"61,26,85,759","85,08,61,135","1,46,35,46,894",511.8,79.43
2004,Quebec,Public Health,"63,28,42,543","87,75,31,565","1,51,03,74,108",531.5,79.66
2005,Quebec,Public Health,"66,65,82,382","90,57,60,944","1,57,23,43,325",546.5,79.93
2006,Quebec,Public Health,"70,66,44,682","95,41,68,851","1,66,08,13,533",557.6,80.25
2007,Quebec,Public Health,"75,57,53,043","1,02,76,81,006","1,78,34,34,049",565.9,80.52
2008,Quebec,Public Health,"79,79,22,767","1,07,07,05,897","1,86,86,28,663",573.8,80.79
2009,Quebec,Public Health,"91,32,19,950","1,24,80,95,619","2,16,13,15,569",585.9,80.99
2010,Quebec,Public Health,"90,35,84,744","1,20,97,75,412","2,11,33,60,155",640.8,81.24
2011,Quebec,Public Health,"89,47,78,057","1,24,10,82,523","2,13,58,60,580",685.8,81.46
2012,Quebec,Public Health,"92,47,95,910","1,28,94,84,194","2,21,42,80,104",701.4,81.6
2013,Quebec,Public Health,"92,86,90,212","1,29,81,08,325","2,22,67,98,537",621.5,81.77
2014,Quebec,Public Health,"93,81,74,276","1,32,38,59,365","2,26,20,33,642",649,81.92
2015,Quebec,Public Health,"80,30,63,084","1,18,70,24,089","1,99,00,87,173",656.8,82.05
2016,Quebec,Public Health,"75,33,36,653","1,14,24,28,919","1,89,57,65,572",673.4,82.22
2017,Quebec,Public Health,"75,08,38,390","1,15,92,59,257","1,91,00,97,647",672.9,82.36
2018,Quebec,Public Health,"82,17,10,575","1,27,22,36,327","2,09,39,46,902",658.9,82.48
2019,Quebec,Public Health,"89,09,53,326","1,38,17,12,584","2,27,26,65,910",670.4,82.63
2020,Quebec,Public Health,"98,95,56,652","1,53,22,60,694","2,52,18,17,347",676.2,82.57
2021,Quebec,Public Health,"1,06,47,42,848","1,72,99,39,774","2,79,46,82,622",670.5,82.62
2022,Quebec,Public Health,"1,22,64,22,679","1,97,01,89,238","3,19,66,11,917",668.3,82.65
2023,Quebec,Public Health,"1,47,85,39,463","2,24,75,83,984","3,72,61,23,447",665.8,82.72
2003,Quebec,Administration,"29,91,90,745","43,90,76,358","73,82,67,103",511.8,79.43
2004,Quebec,Administration,"29,18,09,128","43,96,95,549","73,15,04,677",531.5,79.66
2005,Quebec,Administration,"29,48,12,571","47,59,50,943","77,07,63,514",546.5,79.93
2006,Quebec,Administration,"29,82,15,768","47,82,20,105","77,64,35,872",557.6,80.25
2007,Quebec,Administration,"30,76,25,458","50,59,75,647","81,36,01,105",565.9,80.52
2008,Quebec,Administration,"32,08,52,308","51,10,44,163","83,18,96,471",573.8,80.79
2009,Quebec,Administration,"34,32,37,376","55,41,68,930","89,74,06,307",585.9,80.99
2010,Quebec,Administration,"33,57,47,780","53,73,60,856","87,31,08,636",640.8,81.24
2011,Quebec,Administration,"33,88,82,334","54,41,16,385","88,29,98,719",685.8,81.46
2012,Quebec,Administration,"34,14,49,038","56,01,82,541","90,16,31,579",701.4,81.6
2013,Quebec,Administration,"34,27,30,939","55,91,42,734","90,18,73,673",621.5,81.77
2014,Quebec,Administration,"34,07,33,748","54,72,85,595","88,80,19,343",649,81.92
2015,Quebec,Administration,"26,49,89,416","46,36,05,940","72,85,95,356",656.8,82.05
2016,Quebec,Administration,"24,15,00,789","44,21,52,517","68,36,53,306",673.4,82.22
2017,Quebec,Administration,"24,90,33,734","47,60,70,555","72,51,04,289",672.9,82.36
2018,Quebec,Administration,"26,35,81,387","50,24,07,918","76,59,89,304",658.9,82.48
2019,Quebec,Administration,"28,41,91,961","55,54,92,630","83,96,84,591",670.4,82.63
2020,Quebec,Administration,"30,89,30,018","56,85,87,481","87,75,17,499",676.2,82.57
2021,Quebec,Administration,"37,53,50,727","70,71,89,522","1,08,25,40,249",670.5,82.62
2022,Quebec,Administration,"45,33,31,583","83,65,38,684","1,28,98,70,267",668.3,82.65
2023,Quebec,Administration,"52,96,68,517","92,72,98,324","1,45,69,66,842",665.8,82.72
2003,Quebec,Other Health Spending: Net of HCC,"73,66,20,420","1,09,52,27,600","1,83,18,48,020",511.8,79.43
2004,Quebec,Other Health Spending: Net of HCC,"78,52,69,151","1,15,70,82,016","1,94,23,51,167",531.5,79.66
2005,Quebec,Other Health Spending: Net of HCC,"83,20,65,113","1,23,82,51,456","2,07,03,16,569",546.5,79.93
2006,Quebec,Other Health Spending: Net of HCC,"85,72,44,223","1,32,26,89,837","2,17,99,34,059",557.6,80.25
2007,Quebec,Other Health Spending: Net of HCC,"91,46,84,488","1,42,81,03,450","2,34,27,87,938",565.9,80.52
2008,Quebec,Other Health Spending: Net of HCC,"98,10,73,447","1,54,95,38,889","2,53,06,12,336",573.8,80.79
2009,Quebec,Other Health Spending: Net of HCC,"1,08,92,91,559","1,67,81,73,305","2,76,74,64,863",585.9,80.99
2010,Quebec,Other Health Spending: Net of HCC,"1,15,15,02,658","1,69,19,90,704","2,84,34,93,362",640.8,81.24
2011,Quebec,Other Health Spending: Net of HCC,"1,21,36,72,769","1,72,19,75,935","2,93,56,48,704",685.8,81.46
2012,Quebec,Other Health Spending: Net of HCC,"1,26,12,08,989","1,82,99,00,455","3,09,11,09,444",701.4,81.6
2013,Quebec,Other Health Spending: Net of HCC,"1,29,16,43,380","1,85,84,38,316","3,15,00,81,697",621.5,81.77
2014,Quebec,Other Health Spending: Net of HCC,"1,35,73,15,123","1,94,81,74,958","3,30,54,90,081",649,81.92
2015,Quebec,Other Health Spending: Net of HCC,"2,23,64,01,039","2,82,02,87,264","5,05,66,88,303",656.8,82.05
2016,Quebec,Other Health Spending: Net of HCC,"1,20,96,16,482","3,19,56,07,163","4,40,52,23,645",673.4,82.22
2017,Quebec,Other Health Spending: Net of HCC,"1,33,75,66,600","3,47,62,84,050","4,81,38,50,651",672.9,82.36
2018,Quebec,Other Health Spending: Net of HCC,"1,46,04,17,260","3,74,16,01,150","5,20,20,18,410",658.9,82.48
2019,Quebec,Other Health Spending: Net of HCC,"1,57,29,65,464","4,03,43,31,312","5,60,72,96,776",670.4,82.63
2020,Quebec,Other Health Spending: Net of HCC,"1,58,72,95,350","4,37,77,45,698","5,96,50,41,048",676.2,82.57
2021,Quebec,Other Health Spending: Net of HCC,"1,69,43,83,809","4,67,54,79,862","6,36,98,63,672",670.5,82.62
2022,Quebec,Other Health Spending: Net of HCC,"2,19,27,05,805","5,39,71,71,648","7,58,98,77,453",668.3,82.65
2023,Quebec,Other Health Spending: Net of HCC,"2,17,79,88,758","5,68,52,00,842","7,86,31,89,599",665.8,82.72
2003,Quebec,COVID-19 Response Funding,—,—,0,511.8,79.43
2004,Quebec,COVID-19 Response Funding,—,—,0,531.5,79.66
2005,Quebec,COVID-19 Response Funding,—,—,0,546.5,79.93
2006,Quebec,COVID-19 Response Funding,—,—,0,557.6,80.25
2007,Quebec,COVID-19 Response Funding,—,—,0,565.9,80.52
2008,Quebec,COVID-19 Response Funding,—,—,0,573.8,80.79
2009,Quebec,COVID-19 Response Funding,—,—,0,585.9,80.99
2010,Quebec,COVID-19 Response Funding,—,—,0,640.8,81.24
2011,Quebec,COVID-19 Response Funding,—,—,0,685.8,81.46
2012,Quebec,COVID-19 Response Funding,—,—,0,701.4,81.6
2013,Quebec,COVID-19 Response Funding,—,—,0,621.5,81.77
2014,Quebec,COVID-19 Response Funding,—,—,0,649,81.92
2015,Quebec,COVID-19 Response Funding,—,—,0,656.8,82.05
2016,Quebec,COVID-19 Response Funding,—,—,0,673.4,82.22
2017,Quebec,COVID-19 Response Funding,—,—,0,672.9,82.36
2018,Quebec,COVID-19 Response Funding,—,—,0,658.9,82.48
2019,Quebec,COVID-19 Response Funding,—,—,0,670.4,82.63
2020,Quebec,COVID-19 Response Funding,"7,46,21,76,092","10,58,64,78,619","18,04,86,54,711",676.2,82.57
2021,Quebec,COVID-19 Response Funding,"8,41,48,27,945","11,23,91,76,087","19,65,40,04,032",670.5,82.62
2022,Quebec,COVID-19 Response Funding,"2,00,14,44,394","2,61,03,60,116","4,61,18,04,510",668.3,82.65
2023,Quebec,COVID-19 Response Funding,—,—,0,665.8,82.72
2003,Quebec,Total,"17,14,59,92,075","18,79,23,96,328","35,93,83,88,403",511.8,79.43
2004,Quebec,Total,"18,20,67,62,422","19,93,77,73,269","38,14,45,35,691",531.5,79.66
2005,Quebec,Total,"19,14,69,42,750","20,94,57,47,581","40,09,26,90,331",546.5,79.93
2006,Quebec,Total,"20,52,68,62,085","22,47,19,89,704","42,99,88,51,789",557.6,80.25
2007,Quebec,Total,"22,31,19,07,064","24,37,16,20,846","46,68,35,27,910",565.9,80.52
2008,Quebec,Total,"23,38,02,05,490","25,60,38,56,375","48,98,40,61,866",573.8,80.79
2009,Quebec,Total,"25,11,83,85,716","27,49,37,39,494","52,61,21,25,210",585.9,80.99
2010,Quebec,Total,"26,26,78,59,394","28,59,05,79,220","54,85,84,38,614",640.8,81.24
2011,Quebec,Total,"27,36,30,54,647","29,70,32,37,055","57,06,62,91,702",685.8,81.46
2012,Quebec,Total,"28,07,88,35,413","30,53,35,43,536","58,61,23,78,948",701.4,81.6
2013,Quebec,Total,"29,25,71,43,454","31,77,13,80,138","61,02,85,23,592",621.5,81.77
2014,Quebec,Total,"29,93,57,01,294","32,52,41,79,180","62,45,98,80,474",649,81.92
2015,Quebec,Total,"32,77,92,14,603","35,43,29,89,261","68,21,22,03,864",656.8,82.05
2016,Quebec,Total,"33,16,31,66,092","35,97,41,75,737","69,13,73,41,829",673.4,82.22
2017,Quebec,Total,"34,75,03,85,572","37,73,55,80,773","72,48,59,66,346",672.9,82.36
2018,Quebec,Total,"36,83,93,15,977","39,95,84,08,175","76,79,77,24,153",658.9,82.48
2019,Quebec,Total,"38,79,92,55,800","42,04,67,20,273","80,84,59,76,073",670.4,82.63
2020,Quebec,Total,"47,04,12,52,142","53,59,81,58,821","1,00,63,94,10,963",676.2,82.57
2021,Quebec,Total,"51,13,02,73,176","57,82,68,11,459","1,08,95,70,84,635",670.5,82.62
2022,Quebec,Total,"51,33,17,65,017","56,01,40,29,106","1,07,34,57,94,122",668.3,82.65
2023,Quebec,Total,"51,32,20,68,584","55,52,90,02,714","1,06,85,10,71,298",665.8,82.72
2003,Ontario,Hospitals,"12,19,36,17,076","12,37,33,59,818","24,56,69,76,893",445.9,79.95
2004,Ontario,Hospitals,"13,36,51,69,703","13,54,46,77,369","26,90,98,47,072",458.3,80.16
2005,Ontario,Hospitals,"13,93,56,53,185","14,12,89,88,472","28,06,46,41,656",469.2,80.36
2006,Ontario,Hospitals,"14,72,65,21,978","14,93,05,04,806","29,65,70,26,784",476.1,80.68
2007,Ontario,Hospitals,"15,56,16,48,941","15,77,51,89,373","31,33,68,38,314",489.8,80.86
2008,Ontario,Hospitals,"16,46,38,12,924","16,68,40,20,327","33,14,78,33,251",482.7,81.1
2009,Ontario,Hospitals,"17,20,39,35,799","17,45,24,07,166","34,65,63,42,965",492.9,81.27
2010,Ontario,Hospitals,"17,87,19,25,955","18,11,43,88,930","35,98,63,14,884",555.6,81.53
2011,Ontario,Hospitals,"18,54,70,11,609","18,78,08,54,654","37,32,78,66,263",562.8,81.78
2012,Ontario,Hospitals,"18,98,31,53,762","19,20,62,91,405","38,18,94,45,167",553.1,82.01
2013,Ontario,Hospitals,"19,64,77,16,870","19,87,07,48,303","39,51,84,65,172",552.4,82.19
2014,Ontario,Hospitals,"19,98,38,61,588","20,20,25,54,371","40,18,64,15,958",554.2,82.29
2015,Ontario,Hospitals,"20,19,11,13,672","20,40,39,60,869","40,59,50,74,541",561.4,82.36
2016,Ontario,Hospitals,"20,67,09,52,010","20,88,97,30,880","41,56,06,82,889",570.2,82.41
2017,Ontario,Hospitals,"21,36,85,79,401","21,57,33,79,266","42,94,19,58,667",583.1,82.41
2018,Ontario,Hospitals,"22,25,55,48,977","22,47,48,52,841","44,73,04,01,818",576.9,82.37
2019,Ontario,Hospitals,"22,81,86,09,183","23,04,80,98,894","45,86,67,08,077",567.6,82.41
2020,Ontario,Hospitals,"23,83,24,32,174","24,07,12,55,521","47,90,36,87,695",514.6,82.34
2021,Ontario,Hospitals,"24,27,73,71,018","24,53,13,45,420","48,80,87,16,438",565.3,82.39
2022,Ontario,Hospitals,"28,04,21,73,473","28,31,05,84,792","56,35,27,58,265",554.8,82.45
2023,Ontario,Hospitals,"28,81,51,12,319","29,09,15,29,137","57,90,66,41,456",561.9,82.51
2003,Ontario,Physicians,"6,51,97,77,807","6,62,82,12,391","13,14,79,90,198",445.9,79.95
2004,Ontario,Physicians,"7,02,49,44,041","7,13,43,32,257","14,15,92,76,298",458.3,80.16
2005,Ontario,Physicians,"7,67,43,95,320","7,80,63,83,144","15,48,07,78,464",469.2,80.36
2006,Ontario,Physicians,"8,37,34,94,742","8,52,40,80,519","16,89,75,75,261",476.1,80.68
2007,Ontario,Physicians,"9,11,30,19,251","9,26,62,49,727","18,37,92,68,978",489.8,80.86
2008,Ontario,Physicians,"9,98,48,41,292","10,14,80,47,500","20,13,28,88,792",482.7,81.1
2009,Ontario,Physicians,"10,73,56,93,035","10,88,58,17,273","21,62,15,10,308",492.9,81.27
2010,Ontario,Physicians,"11,43,67,73,217","11,59,13,35,078","23,02,81,08,295",555.6,81.53
2011,Ontario,Physicians,"12,08,12,47,580","12,23,44,93,317","24,31,57,40,898",562.8,81.78
2012,Ontario,Physicians,"12,40,15,04,714","12,56,33,93,242","24,96,48,97,956",553.1,82.01
2013,Ontario,Physicians,"12,61,47,42,610","12,77,13,38,903","25,38,60,81,513",552.4,82.19
2014,Ontario,Physicians,"13,02,84,26,862","13,18,36,00,889","26,21,20,27,751",554.2,82.29
2015,Ontario,Physicians,"13,19,08,58,611","13,35,08,52,722","26,54,17,11,333",561.4,82.36
2016,Ontario,Physicians,"13,42,37,43,374","13,60,11,81,839","27,02,49,25,213",570.2,82.41
2017,Ontario,Physicians,"13,94,60,32,184","14,14,18,54,447","28,08,78,86,631",583.1,82.41
2018,Ontario,Physicians,"14,48,21,46,902","14,68,08,53,956","29,16,30,00,858",576.9,82.37
2019,Ontario,Physicians,"15,29,26,82,325","15,44,89,35,968","30,74,16,18,293",567.6,82.41
2020,Ontario,Physicians,"15,01,61,30,223","15,16,99,54,245","30,18,60,84,468",514.6,82.34
2021,Ontario,Physicians,"15,89,61,74,762","16,05,98,06,072","31,95,59,80,835",565.3,82.39
2022,Ontario,Physicians,"17,10,40,53,709","17,27,69,17,163","34,38,09,70,872",554.8,82.45
2023,Ontario,Physicians,"18,06,04,39,041","18,23,98,50,892","36,30,02,89,933",561.9,82.51
2003,Ontario,Other Professionals,"30,89,39,921","41,38,45,428","72,27,85,348",445.9,79.95
2004,Ontario,Other Professionals,"30,33,41,483","40,85,38,914","71,18,80,397",458.3,80.16
2005,Ontario,Other Professionals,"19,54,35,636","30,66,39,765","50,20,75,401",469.2,80.36
2006,Ontario,Other Professionals,"18,04,28,799","29,28,66,140","47,32,94,939",476.1,80.68
2007,Ontario,Other Professionals,"22,81,63,685","34,71,96,616","57,53,60,300",489.8,80.86
2008,Ontario,Other Professionals,"28,09,18,696","41,22,53,964","69,31,72,660",482.7,81.1
2009,Ontario,Other Professionals,"32,79,24,439","49,36,97,381","82,16,21,820",492.9,81.27
2010,Ontario,Other Professionals,"36,63,01,038","53,06,55,209","89,69,56,247",555.6,81.53
2011,Ontario,Other Professionals,"40,55,66,951","56,20,13,473","96,75,80,424",562.8,81.78
2012,Ontario,Other Professionals,"44,56,81,761","59,08,74,699","1,03,65,56,460",553.1,82.01
2013,Ontario,Other Professionals,"38,56,29,070","52,35,58,720","90,91,87,789",552.4,82.19
2014,Ontario,Other Professionals,"32,89,44,649","46,63,31,580","79,52,76,228",554.2,82.29
2015,Ontario,Other Professionals,"32,78,42,745","47,25,34,511","80,03,77,256",561.4,82.36
2016,Ontario,Other Professionals,"34,38,58,422","50,76,17,016","85,14,75,438",570.2,82.41
2017,Ontario,Other Professionals,"35,45,76,488","54,09,89,007","89,55,65,495",583.1,82.41
2018,Ontario,Other Professionals,"36,99,40,398","58,95,37,224","95,94,77,622",576.9,82.37
2019,Ontario,Other Professionals,"38,52,34,980","65,53,39,549","1,04,05,74,529",567.6,82.41
2020,Ontario,Other Professionals,"36,61,80,848","61,99,96,334","98,61,77,182",514.6,82.34
2021,Ontario,Other Professionals,"40,93,62,856","69,99,66,451","1,10,93,29,307",565.3,82.39
2022,Ontario,Other Professionals,"44,11,32,603","75,54,30,377","1,19,65,62,980",554.8,82.45
2023,Ontario,Other Professionals,"45,67,44,306","78,42,51,429","1,24,09,95,735",561.9,82.51
2003,Ontario,Drugs,"2,82,93,73,205","2,98,78,27,763","5,81,72,00,969",445.9,79.95
2004,Ontario,Drugs,"3,14,08,75,495","3,31,29,16,698","6,45,37,92,192",458.3,80.16
2005,Ontario,Drugs,"3,43,89,51,635","3,63,20,20,898","7,07,09,72,532",469.2,80.36
2006,Ontario,Drugs,"3,69,32,96,011","3,90,38,51,897","7,59,71,47,908",476.1,80.68
2007,Ontario,Drugs,"3,81,36,96,746","4,03,22,88,467","7,84,59,85,214",489.8,80.86
2008,Ontario,Drugs,"4,06,31,19,268","4,28,76,20,906","8,35,07,40,174",482.7,81.1
2009,Ontario,Drugs,"4,40,58,10,685","4,63,77,69,897","9,04,35,80,582",492.9,81.27
2010,Ontario,Drugs,"4,35,47,25,075","4,58,45,15,419","8,93,92,40,493",555.6,81.53
2011,Ontario,Drugs,"4,38,14,53,700","4,60,15,53,563","8,98,30,07,263",562.8,81.78
2012,Ontario,Drugs,"4,37,84,75,128","4,58,42,96,876","8,96,27,72,004",553.1,82.01
2013,Ontario,Drugs,"4,45,71,59,399","4,65,26,60,610","9,10,98,20,009",552.4,82.19
2014,Ontario,Drugs,"4,75,34,96,764","4,95,00,76,701","9,70,35,73,465",554.2,82.29
2015,Ontario,Drugs,"5,04,74,87,946","5,25,69,53,871","10,30,44,41,817",561.4,82.36
2016,Ontario,Drugs,"4,99,31,18,394","5,24,55,17,630","10,23,86,36,025",570.2,82.41
2017,Ontario,Drugs,"5,26,21,56,297","5,52,59,36,655","10,78,80,92,953",583.1,82.41
2018,Ontario,Drugs,"5,66,18,59,660","5,94,84,64,229","11,61,03,23,888",576.9,82.37
2019,Ontario,Drugs,"5,76,82,93,171","6,08,04,57,036","11,84,87,50,207",567.6,82.41
2020,Ontario,Drugs,"5,92,29,97,262","6,21,02,31,666","12,13,32,28,929",514.6,82.34
2021,Ontario,Drugs,"6,32,67,52,863","6,62,00,78,281","12,94,68,31,143",565.3,82.39
2022,Ontario,Drugs,"6,85,49,47,948","7,17,48,52,711","14,02,98,00,658",554.8,82.45
2023,Ontario,Drugs,"7,00,04,08,112","7,33,15,89,323","14,33,19,97,435",561.9,82.51
2003,Ontario,Public Health,"2,12,42,45,987","3,22,76,41,824","5,35,18,87,811",445.9,79.95
